"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"_ZTest","ZTest","Prueba de profundidad (ZTest)","ZTest","Z Test","Z 테스트","Z 测试",""
"_ZWrite","ZWrite","Escritura de profundidad (ZWrite)","ZSchreiben","ZWrite","Z 쓰기","Z 写入",""
"_ColorMask","Color Mask","Máscara de color","Farbmaske","カラーマスク","컬러 마스크","颜色遮罩",""
"_OffsetFactor","Offset Factor","Factor de desplazamiento","Offset-Faktor","オフセット係数","오프셋 계수","偏移因子",""
"_OffsetUnits","Offset Units","Unidades de desplazamiento","Offset-Einheiten","オフセット単位","오프셋 단위","偏移单位",""
"_RenderingReduceClipDistance","Reduce Clip Distance","Reducir la distancia de recorte","Reduzieren Sie den Schnittabstand","距離クリッピングキャンセラー","거리 클리핑 취소","减少裁剪距离",""
"_IgnoreFog","Ignore Fog","Ignorar niebla","Nebel ignorieren","フォグを無視する","안개 무시","忽略雾",""
"Instancing","Instancing","Instanciado","Instanziierung","インスタンス化","인스턴스화","实例化 (Instancing)",""
"m_start_blending","Blending","Mezcla","Mischen","ブレンディング","블렌딩","混合","Смешивание"
"_BlendOp","RGB Blend Op","Operación de mezcla RGB","RGB-Mischop","RGB ブレンド Op","RGB 블렌드 Op","RGB 混合操作",""
"_SrcBlend","RGB Source Blend","Factor de mezcla del RGB origen","RGB-Quellmischung","RGB ソース ブレンド","RGB 소스 블렌드","RGB 源混合",""
"_DstBlend","RGB Destination Blend","Factor de mezcla del RGB destino","RGB-Zielmischung","RGB デスティネーション ブレンド","RGB 대상 블렌드","RGB 目标混合",""
"_AddBlendOp","RGB Blend Op","Operación de mezcla RGB","RGB-Mischop","RGB ブレンド Op","RGB 블렌드 Op","RGB 混合操作",""
"_AddSrcBlend","RGB Source Blend","Factor de mezcla del RGB origen","RGB-Quellmischung","RGB ソース ブレンド","RGB 소스 블렌드","RGB 源混合",""
"_AddDstBlend","RGB Destination Blend","Factor de mezcla del RGB destino","RGB-Zielmischung","RGB デスティネーション ブレンド","RGB 대상 블렌드","RGB 目标混合",""
"m_start_alphaBlending","Advanced Alpha Blending","Mezcla avanzada de alfa","Erweitertes Alpha-Blending","高度なアルファ ブレンディング","고급 알파 블렌딩","高级 Alpha 混合",""
"_BlendOpAlpha","Alpha Blend Op","Operación de mezcla alfa","Alpha Blend Op","アルファ ブレンド Op","알파 블렌드 Op","Alpha 混合操作",""
"_SrcBlendAlpha","Alpha Source Blend","Factor de mezcla del alfa origen","Alpha-Quellen-Mischung","アルファ ソース ブレンド","알파 소스 블렌드","Alpha 源混合",""
"_DstBlendAlpha","Alpha Destination Blend","Factor de mezcla del alfa destino","Alpha-Destination-Mischung","アルファ デスティネーション ブレンド","알파 대상 블렌드","Alpha 目标混合",""
"_AddBlendOpAlpha","Alpha Blend Op","Operación de mezcla alfa","Alpha Blend Op","アルファ ブレンド Op","알파 블렌드 Op","Alpha 混合操作",""
"_AddSrcBlendAlpha","Alpha Source Blend","Factor de mezcla del alfa origen","Alpha-Quellen-Mischung","アルファ ソース ブレンド","알파 소스 블렌드","Alpha 源混合",""
"_AddDstBlendAlpha","Alpha Destination Blend","Factor de mezcla del alfa destino","Alpha-Destination-Mischung","アルファ デスティネーション ブレンド","알파 대상 블렌드","Alpha 目标混合",""
"m_start_StencilPassOptions","Stencil","Esténcil","Schablone","ステンシル","스텐실","模板 (Stencil)",""
"_StencilType","Stencil Type","Tipo de esténcil","Schablonentyp","ステンシルの種類","스텐실 종류","模板类型",""
"_StencilRef","Stencil Reference Value","Valor de referencia","Schablonenbezugswert","ステンシル Ref 値","스텐실 Ref 값","模板参考值",""
"_StencilReadMask","Stencil ReadMask Value","Valor de máscara de lectura","Stencil ReadMask-Wert","ステンシル ReadMask 値","스텐실 ReadMask 값","模板读取掩码",""
"_StencilWriteMask","Stencil WriteMask Value","Valor de máscara de escritura","Stencil WriteMask-Wert","ステンシル WriteMask 値","스텐실 WriteMask 값","模板写入掩码",""
"_StencilPassOp","Stencil Pass Op","Operación del esténcil al cumplirse","Schablonenpass Op","ステンシル Pass Op","스텐실 Pass Op","模板通过操作",""
"_StencilFailOp","Stencil Fail Op","Operación del esténcil al fallar","Stencil Fail Op","ステンシル Fail Op","스텐실 Fail Op","模板失败操作",""
"_StencilZFailOp","Stencil ZFail Op","Operación del esténcil al fallar la profundidad (ZFail)","Schablone ZFail Open","ステンシル ZFail Op","스텐실 ZFail Op","模板 Z 失败操作",""
"_StencilCompareFunction","Stencil Compare Function","Función de comparación","Stencil-Vergleichsfunktion","ステンシル比較機能","스텐실 비교 기능","模板比较函数",""
"m_start_StencilPassBackOptions","Back","Cara trasera","Der Rücken","戻る","뒤로","背面",""
"_FFBFStencilHelp0","Front Face and Back Face Stencils only work when locked in due to Unity's Stencil managment","Los esténciles de la cara frontal y la cara trasera solo funcionan cuando se bloquean debido a la gestión de los esténciles en Unity","Vorder- und Rückseitenschablonen funktionieren nur wenn sie aufgrund der Schablonenverwaltung von Unity gesperrt sind","正面と背面のテンプレートは、Unityのテンプレート管理によりロックされている場合にのみ機能します。","전면 및 후면 스텐실은 Unity의 스텐실 관리로 인해 잠겨 있을 때만 작동합니다.","仅当由于 Unity 的模板管理导致锁定时，正面和背面模板才有效",""
"_StencilBackPassOp","Back Pass Op","Operación del esténcil al cumplirse","Rückpass Oplb","バックパス作戦lb","백 패스 작전 lb","背面通过操作",""
"_StencilBackFailOp","Back Fail Op","Operación del esténcil al fallar","Back-Fail-Op","バック フェイル オペレーション","백 페일 오퍼레이션","背面失败操作",""
"_StencilBackZFailOp","Back ZFail Op","Operación del esténcil al fallar la profundidad (ZFail)","Zurück ZFail Op","バック ZFail Op","백 ZFail Op","背面 Z 失败操作",""
"_StencilBackCompareFunction","Back Compare Function","Función de comparación","Rückvergleichsfunktion","バックコンペア機能","백 비교 기능","背面比较函数",""
"m_start_StencilPassFrontOptions","Front","Cara frontal","Vorderseite","正面","정면","正面",""
"_FFBFStencilHelp1","Front Face and Back Face Stencils only work when locked in due to Unity's Stencil managment","Los esténciles de la cara frontal y la cara trasera solo funcionan cuando se bloquean debido a la gestión de los esténciles en Unity","Vorder- und Rückseitenschablonen funktionieren nur wenn sie aufgrund der Schablonenverwaltung von Unity gesperrt sind","正面と背面のテンプレートは、Unityのテンプレート管理によりロックされている場合にのみ機能します。","전면 및 후면 스텐실은 Unity의 스텐실 관리로 인해 잠겨 있을 때만 작동합니다.","仅当由于 Unity 的模板管理导致锁定时，正面和背面模板才有效",""
"_StencilFrontPassOp","Front Pass Op","Operación del esténcil al cumplirse","Front Pass Op","フロントパスオペレーション","프론트 패스 오퍼레이션","正面通过操作",""
"_StencilFrontFailOp","Front Fail Op","Operación del esténcil al fallar","Frontausfall Open","フロントフェイルオペレーション","프론트 페일 오퍼레이션","正面失败操作",""
"_StencilFrontZFailOp","Front ZFail Op","Operación del esténcil al fallar la profundidad (ZFail)","Front ZFail Op","フロント ZFail Op","프론트 ZFail Op","正面 Z 失败操作",""
"_StencilFrontCompareFunction","Front Compare Function","Función de comparación","Vorderseite Vergleichsfunktion","フロントコンペア機能","프론트 비교 기능","正面比较函数",""
"m_start_OutlineStencil","Outline Stencil","Esténcil del contorno","Gliederungsschablone","輪郭線 ステンシル","윤곽선 스텐실","描边模板",""
"_OutlineStencilType","Stencil Type","Tipo de esténcil","Schablonentyp","ステンシルの種類","스텐실 종류","模板类型",""
"_OutlineStencilRef","Stencil Reference Value","Valor de referencia","Schablonenbezugswert","ステンシル Ref 値","스텐실 Ref 값","模板参考值",""
"_OutlineStencilReadMask","Stencil ReadMask Value","Valor de máscara de lectura","Stencil ReadMask-Wert","ステンシル ReadMask 値","스텐실 ReadMask 값","模板读取掩码",""
"_OutlineStencilWriteMask","Stencil WriteMask Value","Valor de máscara de escritura","Stencil WriteMask-Wert","ステンシル WriteMask 値","스텐실 WriteMask 값","模板写入掩码",""
"_OutlineStencilPassOp","Stencil Pass Op","Operación del esténcil al cumplirse","Schablonenpass Op","ステンシル Pass Op","스텐실 Pass Op","模板通过操作",""
"_OutlineStencilFailOp","Stencil Fail Op","Operación del esténcil al fallar","Stencil Fail Op","ステンシル Fail Op","스텐실 Fail Op","模板失败操作",""
"_OutlineStencilZFailOp","Stencil ZFail Op","Operación del esténcil al fallar la profundidad (ZFail)","Schablone ZFail Open","ステンシル ZFail Op","스텐실 ZFail Op","模板 Z 失败操作",""
"_OutlineStencilCompareFunction","Stencil Compare Function","Función de comparación","Stencil-Vergleichsfunktion","ステンシル比較機能","스텐실 비교 기능","模板比较函数",""
"m_start_OutlineStencilPassBackOptions","Back","Cara trasera","Der Rücken","戻る","뒤로","背面",""
"_FFBFOutlineStencilHelp0","Front Face and Back Face Stencils only work when locked in due to Unity's Stencil managment","Los esténciles de la cara frontal y la cara trasera solo funcionan cuando se bloquean debido a la gestión de los esténciles en Unity","Vorder- und Rückseitenschablonen funktionieren nur wenn sie aufgrund der Schablonenverwaltung von Unity gesperrt sind","正面と背面のテンプレートは、Unityのテンプレート管理によりロックされている場合にのみ機能します。","전면 및 후면 스텐실은 Unity의 스텐실 관리로 인해 잠겨 있을 때만 작동합니다.","仅当由于 Unity 的模板管理导致锁定时，正面和背面模板才有效",""
"_OutlineStencilBackPassOp","Back Pass Op","Operación del esténcil al cumplirse","Rückpass Oplb","バックパス作戦","백 패스 작전","背面通过操作",""
"_OutlineStencilBackFailOp","Back Fail Op","Operación del esténcil al fallar","Back-Fail-Op","バック フェイル オペレーション","백 페일 오퍼레이션","背面失败操作",""
"_OutlineStencilBackZFailOp","Back ZFail Op","Operación del esténcil al fallar la profundidad (ZFail)","Zurück ZFail Op","バック ZFail Op","백 ZFail Op","背面 Z 失败操作",""
"_OutlineStencilBackCompareFunction","Back Compare Function","Función de comparación","Rückvergleichsfunktion","バックコンペア機能","백 비교 기능","背面比较函数",""
"m_start_OutlineStencilPassFrontOptions","Front","Cara frontal","Vorderseite","正面","정면","正面",""
"_FFBFOutlineStencilHelp1","Front Face and Back Face Stencils only work when locked in due to Unity's Stencil managment","Los esténciles de la cara frontal y la cara trasera solo funcionan cuando se bloquean debido a la gestión de los esténciles en Unity","Vorder- und Rückseitenschablonen funktionieren nur wenn sie aufgrund der Schablonenverwaltung von Unity gesperrt sind","正面と背面のテンプレートは、Unityのテンプレート管理によりロックされている場合にのみ機能します。","전면 및 후면 스텐실은 Unity의 스텐실 관리로 인해 잠겨 있을 때만 작동합니다.","仅当由于 Unity 的模板管理导致锁定时，正面和背面模板才有效",""
"_OutlineStencilFrontPassOp","Front Pass Op","Operación del esténcil al cumplirse","Front Pass Op","フロントパスオペレーション","프론트 패스 오퍼레이션","正面通过操作",""
"_OutlineStencilFrontFailOp","Front Fail Op","Operación del esténcil al fallar","Frontausfall Open","フロントフェイルオペレーション","프론트 페일 오퍼레이션","正面失败操作",""
"_OutlineStencilFrontZFailOp","Front ZFail Op","Operación del esténcil al fallar la profundidad (ZFail)","Front ZFail Op","フロント ZFail Op","프론트 ZFail Op","正面 Z 失败操作",""
"_OutlineStencilFrontCompareFunction","Front Compare Function","Función de comparación","Vorderseite Vergleichsfunktion","フロントコンペア機能","프론트 비교 기능","正面比较函数",""
"m_start_outlineBlending","Outline Blending","Mezcla del contorno","Outline Blending","輪郭線ブレンディング","윤곽선 블렌딩","描边混合",""
"_OutlineBlendOp","RGB Blend Op","Operación de mezcla RGB","RGB-Mischop","RGB ブレンド Op","RGB 블렌드 Op","RGB 混合操作",""
"_OutlineSrcBlend","RGB Source Blend","Factor de mezcla del RGB origen","RGB-Quellmischung","RGB ソース ブレンド","RGB 소스 블렌드","RGB 源混合",""
"_OutlineDstBlend","RGB Destination Blend","Factor de mezcla del RGB destino","RGB-Zielmischung","RGB デスティネーション ブレンド","RGB 대상 블렌드","RGB 目标混合",""
"_OutlineBlendOpAlpha","Alpha Blend Op","Operación de mezcla alfa","Alpha Blend Op","アルファ ブレンド Op","알파 블렌드 Op","Alpha 混合操作",""
"_OutlineSrcBlendAlpha","Alpha Source Blend","Factor de mezcla del alfa origen","Alpha-Quellen-Mischung","アルファ ソース ブレンド","알파 소스 블렌드","Alpha 源混合",""
"_OutlineDstBlendAlpha","Alpha Destination Blend","Factor de mezcla del alfa destino","Alpha-Destination-Mischung","アルファ デスティネーション ブレンド","알파 대상 블렌드","Alpha 目标混合",""
"Opaque","Opaque","Opaco","Undurchsichtig","不透明","불투명","不透明",""
